date,action,ticker,name,rank,score,source_etfs,target_weight,industry,industry_rank,industry_score,stock_score
2026-03-12,OUT,ZIM,ZIM Integrated Shipping,,,,0.071636,,,,0.8043
2026-03-12,OUT,VAL,Valaris Ltd,,,,0.125662,,,,0.8027
2026-03-12,OUT,APA,APA Corporation,,,,0.151729,,,,0.6955
2026-03-12,OUT,EOG,EOG Resources,,,,0.25458,,,,0.6472
2026-03-12,OUT,COP,ConocoPhillips,,,,0.249968,,,,0.6198
2026-03-12,IN,OXY,Occidental Petroleum,,,,0.145123,energy_integrated_ep_refining,1.0,0.7704721985298215,0.723
2026-03-12,IN,EOG,EOG Resources,,,,0.252317,energy_integrated_ep_refining,1.0,0.7704721985298215,0.5596
2026-03-12,IN,COP,ConocoPhillips,,,,0.247746,energy_integrated_ep_refining,1.0,0.7704721985298215,0.5205
2026-03-12,IN,ZIM,ZIM Integrated Shipping,,,,0.070999,shipping_marine,2.0,0.7502090224576521,0.6884
2026-03-12,IN,INSW,International Seaways,,,,0.149566,shipping_marine,2.0,0.7502090224576521,0.5347
2026-03-12,IN,VRT,Vertiv,,,,0.134249,cloud_network_infra,3.0,0.7288621288068847,0.7374
2026-03-13,OUT,INSW,International Seaways,,,,0.149566,shipping_marine,3.0,0.7361555500687809,0.5347
2026-03-13,OUT,VRT,Vertiv,,,,0.134249,cloud_network_infra,6.0,0.6280631190038495,0.7374
2026-03-13,IN,EBAY,eBay,,,,0.200747,internet_commerce_platforms,2.0,0.7388059549513885,0.4196
2026-03-13,KEEP,OXY,Occidental Petroleum,,,,0.169479,energy_integrated_ep_refining,1.0,0.7516596252062222,0.7025
2026-03-13,KEEP,EOG,EOG Resources,,,,0.279675,energy_integrated_ep_refining,1.0,0.7516596252062222,0.4936
2026-03-13,KEEP,COP,ConocoPhillips,,,,0.272152,energy_integrated_ep_refining,1.0,0.7516596252062222,0.4816
2026-03-13,KEEP,ZIM,ZIM Integrated Shipping,,,,0.077946,shipping_marine,3.0,0.7361555500687809,0.6731
2026-03-13,KEEP,OXY,Occidental Petroleum,,,,0.169479,energy_integrated_ep_refining,1.0,0.7516592042306375,0.7025
2026-03-13,KEEP,EOG,EOG Resources,,,,0.279675,energy_integrated_ep_refining,1.0,0.7516592042306375,0.4936
2026-03-13,KEEP,COP,ConocoPhillips,,,,0.272152,energy_integrated_ep_refining,1.0,0.7516592042306375,0.4816
2026-03-13,KEEP,EBAY,eBay,,,,0.200747,internet_commerce_platforms,2.0,0.7388073093960866,0.4196
2026-03-13,KEEP,ZIM,ZIM Integrated Shipping,,,,0.077946,shipping_marine,3.0,0.7361549344390327,0.6731
2026-03-20,OUT,EBAY,eBay,,,,0.200747,internet_commerce_platforms,,,0.4196
2026-03-20,OUT,ZIM,ZIM Integrated Shipping,,,,0.077946,shipping_marine,14.0,0.5040865241643396,0.6731
2026-03-20,IN,KR,Kroger,,,,0.176798,consumer_staples_brands,2.0,0.7287801740346215,0.3973
2026-03-20,IN,ROST,Ross Stores,,,,0.177409,consumer_retail_offprice_auto,3.0,0.718674315390583,0.3748
2026-03-20,KEEP,OXY,Occidental Petroleum,,,,0.177116,energy_integrated_ep_refining,1.0,0.7668164415874048,0.6652
2026-03-20,KEEP,COP,ConocoPhillips,,,,0.231269,energy_integrated_ep_refining,1.0,0.7668164415874048,0.5421
2026-03-20,KEEP,EOG,EOG Resources,,,,0.237407,energy_integrated_ep_refining,1.0,0.7668164415874048,0.5238
2026-03-27,OUT,COP,ConocoPhillips,,,,0.231269,energy_integrated_ep_refining,1.0,0.8330659030205134,0.5421
2026-03-27,OUT,KR,Kroger,,,,0.176798,consumer_staples_brands,7.0,0.5989633652675538,0.3973
2026-03-27,OUT,ROST,Ross Stores,,,,0.177409,consumer_retail_offprice_auto,9.0,0.5349904794498795,0.3748
2026-03-27,IN,MPC,Marathon Petroleum,,,,0.170293,energy_integrated_ep_refining,1.0,0.8330659030205134,0.6058
2026-03-27,IN,MRVL,Marvell Technology,,,,0.081911,semiconductor_core,2.0,0.7349579136267241,0.411
2026-03-27,IN,HOLX,Hologic,,,,0.275907,medical_devices_tools,3.0,0.651313893862349,0.2251
2026-03-27,KEEP,OXY,Occidental Petroleum,,,,0.198594,energy_integrated_ep_refining,1.0,0.8330659030205134,0.6963
2026-03-27,KEEP,EOG,EOG Resources,,,,0.273295,energy_integrated_ep_refining,1.0,0.8330659030205134,0.5591
